Title,Author,Audiobook,Completion Date,Re-read?,Genre,Fiction/Nonfiction,Impact (1–5),Would Recommend,Notes,Themes
The Art of Scientific Investigation,W. I. Beveridge,N,2011 - 2017,N,Science / Systems,Nonfiction,3.0,N,,Science & Epistemology
The Art of War,Sun Tzu,N,2012/09/28,N,Strategy / Philosophy,Nonfiction,3.0,N,Timeless strategy primitives,Business & Management
The C Programming Language,Brian W. Kernighan; Dennis M. Ritchie,N,2010/08/17,N,Technology / Programming,Nonfiction,4.0,Y,Programming bedrock,Technology & Computing
The Coming Wave,Mustafa Suleyman,Y,2024-2025,N,Technology / AI,Fiction,4.0,Y,AI + bio risk synthesis,Literature & Human Condition
The Feynman Lectures on Physics,Richard Phillips Feynman; Robert B. Leighton; Matthew Linzee Sands,N,Pre-Graduate School,N,Physics,Nonfiction,5.0,Y,,Science & Epistemology
The God Delusion,Richard Dawkins,Y,Graduate School,N,Philosophy,Nonfiction,3.0,N,,Spirituality & Mysticism
The Holographic Universe: The Revolutionary Theory of Reality,Michael Talbot,N,2011 - 2017,N,Philosophy / Spirituality,Nonfiction,3.0,N,,Spirituality & Mysticism; Science & Epistemology
The Hound of the Baskervilles: Another Adventure of Sherlock Holmes,Arthur Conan Doyle,N,Pre-Graduate School,N,Mystery,Fiction,3.0,N,,Crime & Investigation; Literature & Human Condition
The Immortal Life of Henrietta Lacks ,Rebecca Skloot,Y,"August, 2019",N,History / Science,Nonfiction,3.0,N,,Science & Epistemology
The Interpretation of Dreams,Sigmund Freud,Y,Graduate School,N,Psychology,Nonfiction,3.0,N,,Human Cognition & Bias
The Left Hand of the Electron,Isaac Asimov,N,Graduate School,N,Science Essays,Fiction,3.0,N,,Literature & Human Condition; Speculative Futures & Myth
"The Lion, the Witch and the Wardrobe (full color)",C. S. Lewis,N,Pre-Graduate School,N,Children's Fiction,Fiction,3.0,N,,Literature & Human Condition; Mythic Worlds; Speculative Futures & Myth
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,Y,"May, 2018",N,Technology / AI,Nonfiction,3.0,N,,Learning & Productivity; Technology & Computing
The Monk who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,N,Pre-Graduate School,N,Self-Help,Fiction,3.0,N,,Literature & Human Condition
The Moon Is a Harsh Mistress,Robert A. Heinlein,Y,"April, 2019",N,Sci-Fi,Fiction,5.0,Y,,Literature & Human Condition; Speculative Futures & Myth
The Mysterious Affair at Styles: Hercule Poirot's First Case,Agatha Christie,N,Pre-Graduate School,N,Mystery,Fiction,3.0,N,,Crime & Investigation; Literature & Human Condition
The Peter Principle: Why Things Always Go Wrong,Laurence J. Peter; Raymond Hull,N,Graduate School,N,Management,Nonfiction,3.0,N,,Business & Management
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,N,2011 - 2017,N,Psychology / Behavior,Nonfiction,3.0,N,,Human Cognition & Bias; Power & Institutions
The Psychopath Inside: A Neuroscientist's Personal Journey Into the Dark Side of the Brain,James Fallon,N,"October, 2019",N,Neuroscience,Nonfiction,3.0,N,,Human Cognition & Bias
The Sign of the Four,Arthur Conan Doyle,N,Pre-Graduate School,N,Mystery,Fiction,3.0,N,,Crime & Investigation; Literature & Human Condition
The Signal and the Noise: Why So Many Predictions Fail - but Some Don't ,Nate Silver,N,"July, 2019",N,Science / Statistics,Nonfiction,4.0,Y,,Science & Epistemology
"The Stars, Like Dust",Isaac Asimov,N,Pre-Graduate School,N,Sci-Fi,Fiction,3.0,N,,Literature & Human Condition; Speculative Futures & Myth
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,N,Graduate School,N,Psychology / Society,Nonfiction,3.0,N,,Business & Management; Crime & Investigation; Human Cognition & Bias; Literature & Human Condition
The Wisdom of Crowds,James Surowiecki,N,2020/03/20,N,Psychology / Society,Nonfiction,4.0,Y,Collective intelligence framework,Human Cognition & Bias
"The Wisdom of Psychopaths: What Saints, Spies, and Serial Killers Can Teach Us About Success",Kevin Dutton,N,2011 - 2017,N,Psychology / Behavior,Nonfiction,3.0,N,,Human Cognition & Bias
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Y,Graduate School,N,Globalization,Nonfiction,3.0,N,,Business & Management; Power & Institutions; Systems & Complexity
Thinking in Systems: A Primer,Donella H. Meadows,N,"April, 2020",Y,Systems Thinking,Nonfiction,5.0,Y,,Systems & Complexity; Science & Epistemology
"Thinking, Fast and Slow",Daniel Kahneman,Y,"August, 2018",N,Psychology / Behavior,Nonfiction,5.0,Y,,Human Cognition & Bias
This Is Water: The Original David Foster Wallace Recording ,David Foster Wallace,Y,"August, 2019",Y,Philosophy,Nonfiction,3.0,N,,Literature & Human Condition; Human Cognition & Bias
Tribe: On Homecoming and Belonging,Sebastian Junger,N,2011 - 2017,N,History / Society,Nonfiction,3.0,N,,Power & Institutions; Evolution & Human Origins; Literature & Human Condition
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,N,"June, 2018",N,Learning,Nonfiction,3.0,N,,Learning & Productivity
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,Y,"November, 2019",N,Science / Humor,Nonfiction,3.0,N,,Humor & Satire
Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,N,Pre-Graduate School,N,Self-Help,Fiction,3.0,N,,Literature & Human Condition
Range: Why Generalists Triumph in a Specialized World,David Epstein,Y,,N,Business / Learning,Nonfiction,,,In progress,Learning & Productivity; Human Cognition & Bias; Business & Management
The Fall of Hyperion,Dan Simmons,Y,,N,Sci-Fi,Fiction,5.0,Y,Sequel to Hyperion; epic continuation.,Literature & Human Condition; Speculative Futures & Myth
The Remains of the Day,Kazuo Ishiguro,Y,2026-03,N,Fiction; Classics; Literary Fiction,Fiction,3.0,Y,,Literature & Human Condition
How to Train Your Mind: Exploring the Productivity Benefits of Meditation,Chris Bailey,Y,2026-03,N,Self-Help; Psychology; Productivity,Non-Fiction,3.0,Y,,Human Cognition & Bias; Learning & Productivity; Health & Longevity
Think Again: The Power of Knowing What You Don't Know,Adam Grant,Y,2026-03,N,Psychology; Self-Help; Career,Non-Fiction,3.0,Y,,Human Cognition & Bias; Learning & Productivity; Decision Making
"Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease—and How to Fight It",Benjamin Bikman,Y,2026-03,N,Health; Nutrition; Medicine,Non-Fiction,3.0,Y,,Health & Longevity
"Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed",James C. Scott,Y,2026-06-08,Y,Anthropology; Economics; Political Science,Non-Fiction,4.8,Y,Masterful analysis of how states simplify complex realities to make them legible — and why high-modernist schemes so often fail. Metis vs. episteme is the key tension.,Power & Institutions; Systems & Complexity
"Project Hail Mary",Andy Weir,Y,2026-07-24,Y,Adventure; Hard Science Fiction; Space Opera,Fiction,5.0,Y,Outstanding audiobook — Ray Porter's narration is exceptional. Hard sci-fi at its best: ingenious problem-solving and a genuinely moving first-contact story.,Speculative Futures & Myth; Science & Epistemology
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,Y,2026-07-28,N,Ecology; Biology; Science,Non-Fiction,4.5,Y,"Sheldrake narrates his own book — a fitting choice. Transforms how you see the living world: mycorrhizal networks, lichen symbiosis, and fungal intelligence reframe every walk in nature.",Science & Epistemology; Systems & Complexity
